,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1017,0.07057413996228373,0.0018194211934667015
1,1020,0.09944291366311801,0.002221247941271689
2,1023,0.12088441183609716,0.0034018560418721394
3,1026,0.14066283121914194,0.0033580887866337043
4,1029,0.15288296347115027,0.001752668056354655
5,1032,0.1338120266110753,0.0017202393789128238
6,1035,0.10122316333524996,0.00179395125761246
7,1038,0.07115029129091417,0.0017861868029021431
8,1041,0.05402033085939902,0.0017975255138101877
9,1044,0.04045654154241125,0.0016582131954852057
10,1047,0.032499824010635656,0.0017375528937432555
11,1050,0.023951369788542967,0.0016757736315348474
