,BN_cooler [MHz],VL [V],dVL [V],tau [s],dtau [s],vc [V/s],dvc [V/s]
0,1034,0.011647389482313988,4.114709357354245e-06,0.3205598174126938,0.0009579798880626738,0.03633452744115759,0.00012142025847904435
1,1036,0.01594143054250749,4.76904693551889e-06,0.4333014508495233,0.0009843006698671854,0.0367906235053056,9.458099486229239e-05
2,1038,0.017266431868729257,5.048102604697423e-06,0.45468201741126973,0.0010664565092786866,0.03797474104438003,0.00010017223165976059
3,1040,0.016776932889424168,5.390692817692312e-06,0.4875471648590057,0.0012819380599185604,0.03441089211189631,0.00010153545884324746
4,1042,0.015008921710766525,4.4537868801736615e-06,0.3961595184857712,0.0013783248446257522,0.037886056021409466,0.00014305620972073383
5,1044,0.013534727389985051,4.260615231587095e-06,0.3359573601591674,0.001717499202513248,0.04028703935396048,0.00021863957128021776
6,1046,0.012364963185044027,4.450519939653021e-06,0.3677194096357337,0.0034229526469458336,0.033626082445016636,0.00032511476065315645
7,1048,0.010636492883400829,3.749291876075413e-06,0.224228074275579,0.007199915162358381,0.04743604438366826,0.0015398820517541194
