,BN_cooler [MHz],VL [V],dVL [V],tau [s],dtau [s],vc [V/s],dvc [V/s]
0,1032,0.009718893819459559,3.910068915653494e-06,0.25924129308320404,0.0009020622059755876,0.037489759844471456,0.00014553300492272842
1,1034,0.01677210578893112,4.143743138776759e-06,0.3416267978127601,0.0006776110048084661,0.04909481895540182,0.00010950819134083448
2,1036,0.020896457128453373,4.478073330090736e-06,0.40007211465832054,0.0006621924064970553,0.05223172613842352,9.764621008527991e-05
3,1038,0.020863164215790087,4.745764556806594e-06,0.4199558036085133,0.0007586859845998555,0.04967942825535737,0.00010105075375179315
4,1040,0.020530468225015377,5.2051500928181436e-06,0.48916968663491,0.0010088455328024963,0.041970033683502175,9.719823690030843e-05
5,1042,0.016388731740606448,4.560316501637129e-06,0.4057327119172332,0.0012934892110654736,0.040392926819146004,0.00014001368358277256
6,1044,0.013601309285238006,5.913992972420231e-06,0.5737440133214003,0.003604550917332786,0.02370623304023708,0.0001592423012751003
