,BN_cooler [MHz],VL [V],dVL [V],tau [s],dtau [s],vc [V/s],dvc [V/s]
0,1032,0.012343371655798286,4.044726170635314e-06,0.25307153606234345,0.0007773047279700223,0.04877423928370013,0.00016579175051381753
1,1034,0.019329242049927715,4.329294086136962e-06,0.35669618471758896,0.0006657662092389525,0.05418965180474658,0.00011328109152654291
2,1036,0.022946216386801558,4.718125220315712e-06,0.42263777754869675,0.0006849037998752861,0.05429286638759516,9.914758675464752e-05
3,1038,0.023596648408235343,4.504966567313511e-06,0.4046399936082692,0.0006747716747891887,0.05831516602651786,0.00010837877991638135
4,1040,0.01976240100547106,4.245702375947771e-06,0.3700522213675331,0.0008582179190570677,0.05340435718082933,0.00013532759911342925
5,1042,0.013402673791785745,3.910060826806461e-06,0.2688161922842379,0.001510841319258949,0.04985813420649219,0.00029476568882929964
6,1044,0.010126450154251867,3.790337409754074e-06,0.2365745365750559,0.005689817819733217,0.042804480570287996,0.0010455057306834525
