,BN_cooler [MHz],VL [V],dVL [V],tau [s],dtau [s],vc [V/s],dvc [V/s]
0,1032,0.01203968524312922,4.031131260883609e-06,0.29289348319145997,0.0009011336986489949,0.04110601953973507,0.00014023238153992672
1,1034,0.019720507997782775,4.248998310571616e-06,0.3428621611312781,0.00066814897109796,0.05751730646716659,0.000124478966433959
2,1036,0.023582103951102478,4.9224868282767205e-06,0.4336305225228675,0.0007255023246565972,0.05438294291163251,0.00010233928662157973
3,1038,0.02225680407076622,4.644539341330667e-06,0.40925109166281615,0.000785943145415255,0.05438422651564655,0.00011579064871268898
4,1040,0.016541830939303545,4.172362066708208e-06,0.3270192501797722,0.0011323518470509612,0.050583661145972326,0.00018791206989242544
5,1042,0.011268681786437841,3.816987991340893e-06,0.2346515523511143,0.0028125254546665025,0.04802304384322276,0.0005918691771668173
