,BN_cooler [MHz],VL [V],dVL [V],tau [s],dtau [s],vc [V/s],dvc [V/s]
0,1032,0.009032025551101693,4.10174704832618e-06,0.2978695309809322,0.0011703854908543384,0.03032208605344018,0.00013291146794145781
1,1034,0.014254795881723533,4.5995094761602305e-06,0.38116408222591147,0.000925671105595276,0.037398056497030804,0.00010288957330884445
2,1036,0.018238801809479566,4.6925277513684745e-06,0.4152547084087139,0.0008312735073561068,0.043921962689771714,9.922510423627609e-05
3,1038,0.0194301121064386,5.108720101056966e-06,0.45897956236079285,0.0009782657464094426,0.0423332838754268,0.00010135946230399781
4,1040,0.018990928410155324,4.872571462788002e-06,0.43855520662498043,0.000968065655280958,0.04330339287567721,0.00010669830880125243
5,1042,0.017118084971389745,5.816107108045101e-06,0.5326176054184062,0.0017537693602147275,0.03213954025785979,0.00011674688825732624
6,1044,0.013825801165379703,4.810894263862951e-06,0.42814512062688836,0.002228186114428394,0.03229232449300373,0.0001792948222541739
