,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1017.0,0.10168912265906309,0.0017774972692142215
1,1019.5,0.12179052309104776,0.0023958698100859715
2,1022.0,0.15705935273098978,0.003011317800227741
3,1024.5,0.159225110967899,0.0016891059010995379
4,1026.0,0.1729869262095126,0.001774916321184297
5,1028.5,0.172835161355512,0.0023897392936027655
6,1031.0,0.14959518924884396,0.002211876109230961
7,1033.5,0.14230181801463263,0.0016816212206138008
8,1036.0,0.11534863512756408,0.001595087932513073
9,1038.5,0.09898753471697076,0.0019316050292198835
10,1041.0,0.0796446415176972,0.0016651786482350165
11,1042.5,0.082184579553859,0.001864955766427689
12,1045.0,0.06425607681763444,0.0016850979072382832
13,1047.5,0.06019845944978596,0.0016841811365093664
14,1050.0,0.053965223794933063,0.0017945838408253215
