,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1023,0.09430163753050749,0.0024910077245080386
1,1026,0.10568607370362336,0.0018399614491069025
2,1029,0.1095460262601438,0.0019529471053152869
3,1032,0.09071308225535545,0.0019078299052243343
4,1035,0.06102929187840265,0.0017176906668699174
5,1038,0.04693739368923253,0.0019575505378561795
6,1041,0.03335823689322316,0.0018265386582659053
7,1044,0.026032500658542956,0.0017617141854641316
8,1047,0.024960210678199854,0.0018581210266715824
9,1050,0.01979209018705944,0.001658728286373726
