,BN_cooler [MHz],PhotoEm [V],Error [V]
0,1025,0.08660486686304374,0.00210429810079198
1,1027,0.0943106275087116,0.0024969877551607837
2,1029,0.09829021238184397,0.0024926691586463377
3,1031,0.09138497315390448,0.001782716337911619
4,1033,0.07645926262592635,0.0025034189368819304
5,1035,0.06017583157335662,0.0027987858564440006
6,1037,0.04619510898186165,0.0020450966571490207
7,1039,0.041618604670551014,0.0022612501041585687
8,1041,0.03710163036276541,0.0017414988530915227
9,1043,0.030476104737857845,0.0020051881731264183
10,1045,0.02980859494681865,0.0021216938394969416
11,1047,0.023934801650628248,0.002919684507726295
12,1049,0.02478421989941026,0.002109155880627854
